,name,place,lat,lon,map
87975, 八一乡, town,30.5157964,106.030814,D:/MapsData/ 八一乡.png
87976, 金光乡, town,30.4011484,106.1383868,D:/MapsData/ 金光乡.png
87977, 金牛镇, town,30.4181331,106.1012214,D:/MapsData/ 金牛镇.png
87978, 旧县乡, town,30.3301307,106.2860308,D:/MapsData/ 旧县乡.png
87979, 礼安镇, town,30.470586600000004,106.1372643,D:/MapsData/ 礼安镇.png
87980, 龙女镇, town,30.3901886,106.18627,D:/MapsData/ 龙女镇.png
87982, 清平镇, town,30.26191,106.22361,D:/MapsData/ 清平镇.png
87985, 万善镇, town,30.3688877,106.1214317,D:/MapsData/ 万善镇.png
87986, 龙凤街道办事处, town,46.4993378,125.1490399,D:/MapsData/ 龙凤街道办事处.png
87987, 卧里屯街道办事处, town,46.4571363,125.2117824,D:/MapsData/ 卧里屯街道办事处.png
87988, 兴化街道办事处, town,46.4441264,125.2132415,D:/MapsData/ 兴化街道办事处.png
87989, 东光街道办事处, town,46.5149333,125.0705908,D:/MapsData/ 东光街道办事处.png
87990, YE KYI, town,17.341237200000002,95.1113677,D:/MapsData/ YE KYI.png
87991, YE KYI ရေကြည်, town,17.341238,95.1113663,D:/MapsData/ YE KYI ရေကြည်.png
87992, 筑後市, city,33.2123783,130.5017727,D:/MapsData/ 筑後市.png
87993, 淳溪, town,31.3365446,118.8806962,D:/MapsData/ 淳溪.png
87994, 北辰街道, town,30.4866598,106.64165020000002,D:/MapsData/ 北辰街道.png
87995, 崇望乡, town,30.574313300000004,106.6521419,D:/MapsData/ 崇望乡.png
87996, 穿石乡, town,30.424582,106.616001,D:/MapsData/ 穿石乡.png
87997, 大龙乡, town,30.548115600000006,106.6831359,D:/MapsData/ 大龙乡.png
87999, 广安区, city,30.4769353,106.6372661,D:/MapsData/ 广安区.png
88000, 广福街道, town,30.4629846,106.6338466,D:/MapsData/ 广福街道.png
88003, 官盛镇, town,30.4464048,106.6874679,D:/MapsData/ 官盛镇.png
88004, 化龙乡, town,30.384749300000006,106.6274435,D:/MapsData/ 化龙乡.png
88005, 浓洄街道, town,30.4741969,106.63689209999998,D:/MapsData/ 浓洄街道.png
88006, 浓溪镇, town,30.528654,106.596642,D:/MapsData/ 浓溪镇.png
88008, 万盛街道, town,30.4558011,106.6267477,D:/MapsData/ 万盛街道.png
88009, 协兴镇, town,30.535756,106.637299,D:/MapsData/ 协兴镇.png
88010, 悦来镇, town,30.622020000000006,106.602594,D:/MapsData/ 悦来镇.png
88011, 枣山镇, town,30.451933,106.605154,D:/MapsData/ 枣山镇.png
88012, 中桥街道, town,30.4545957,106.6419184,D:/MapsData/ 中桥街道.png
88014, 古桥街道, town,30.3484155,106.7604852,D:/MapsData/ 古桥街道.png
88015, 华龙街道, town,30.4213609,106.7918107,D:/MapsData/ 华龙街道.png
88016, 禄市镇, town,30.4466017,106.826239,D:/MapsData/ 禄市镇.png
88018, 庆华镇, town,30.207177,106.671285,D:/MapsData/ 庆华镇.png
88019, 双河街道, town,30.374476,106.772655,D:/MapsData/ 双河街道.png
88020, 溪口镇, town,30.170779,106.690277,D:/MapsData/ 溪口镇.png
88022, 永兴镇, town,30.432656899999994,106.7432096,D:/MapsData/ 永兴镇.png
88023, 大佛寺街道, town,30.4999286,106.892664,D:/MapsData/ 大佛寺街道.png
88024, 观塘镇, town,30.5158393,106.7362177,D:/MapsData/ 观塘镇.png
88025, 护安镇, town,30.5066377,106.6926564,D:/MapsData/ 护安镇.png
88026, 虎城镇, town,30.5428028,106.7678979,D:/MapsData/ 虎城镇.png
88027, 奎阁街道, town,30.47516,106.6633062,D:/MapsData/ 奎阁街道.png
88029, 龙塘街道, town,30.4974804,106.896043,D:/MapsData/ 龙塘街道.png
88030, 前锋区, city,30.478330100000004,106.6614892,D:/MapsData/ 前锋区.png
88031, 新桥街道, town,30.482349,106.842037,D:/MapsData/ 新桥街道.png
88032, Tamparuli, town,6.1358087,116.2689572,D:/MapsData/ Tamparuli.png
88033, 八耳镇, town,30.2315302,107.1347153,D:/MapsData/ 八耳镇.png
88035, 长滩乡, town,30.1601983,107.0205798,D:/MapsData/ 长滩乡.png
88036, 城北镇, town,30.360883,106.927895,D:/MapsData/ 城北镇.png
88037, 城南镇, town,30.3195752,106.9182889,D:/MapsData/ 城南镇.png
88038, 鼎屏镇, town,30.3347429,106.930719,D:/MapsData/ 鼎屏镇.png
88039, 风垭乡, town,30.1321928,106.9021577,D:/MapsData/ 风垭乡.png
88040, 复盛乡, town,30.213458000000006,107.100719,D:/MapsData/ 复盛乡.png
